,location,product_name,diameter,piece,cover_fill,type_r_c,fondant,fondant_type,topic,topic_type,price
0,A,Victoria Cake,18.0,15,1,GN,1,FondantM,1,Basica,26.33
1,A,Victoria Cake,18.0,15,1,GN,1,FondantM,1,Media,28.33
2,A,Victoria Cake,18.0,15,1,GN,1,FondantM,1,Alta,31.33
3,A,Victoria Cake,18.0,15,1,GN,1,FondantM,1,Muy Alta,35.33
4,A,Victoria Cake,18.0,15,1,GN,1,FondantM,0,Sin Tematica,23.33
5,A,Victoria Cake,18.0,15,1,GN,0,FondantM,1,Basica,22.33
6,A,Victoria Cake,18.0,15,1,GN,0,FondantM,1,Media,24.33
7,A,Victoria Cake,18.0,15,1,GN,0,FondantM,1,Alta,27.33
8,A,Victoria Cake,18.0,15,1,GN,0,FondantM,1,Muy Alta,31.33
9,A,Victoria Cake,18.0,15,1,GN,0,FondantM,0,Sin Tematica,19.33
10,A,Victoria Cake,18.0,15,1,GNL,1,FondantM,1,Basica,30.4
11,A,Victoria Cake,18.0,15,1,GNL,1,FondantM,1,Media,32.4
12,A,Victoria Cake,18.0,15,1,GNL,1,FondantM,1,Alta,35.4
13,A,Victoria Cake,18.0,15,1,GNL,1,FondantM,1,Muy Alta,39.4
14,A,Victoria Cake,18.0,15,1,GNL,1,FondantM,0,Sin Tematica,27.4
15,A,Victoria Cake,18.0,15,1,GNL,0,FondantM,1,Basica,26.4
16,A,Victoria Cake,18.0,15,1,GNL,0,FondantM,1,Media,28.4
17,A,Victoria Cake,18.0,15,1,GNL,0,FondantM,1,Alta,31.4
18,A,Victoria Cake,18.0,15,1,GNL,0,FondantM,1,Muy Alta,35.4
19,A,Victoria Cake,18.0,15,1,GNL,0,FondantM,0,Sin Tematica,23.4
20,A,Victoria Cake,18.0,15,1,GB,1,FondantM,1,Basica,33.93
21,A,Victoria Cake,18.0,15,1,GB,1,FondantM,1,Media,35.93
22,A,Victoria Cake,18.0,15,1,GB,1,FondantM,1,Alta,38.93
23,A,Victoria Cake,18.0,15,1,GB,1,FondantM,1,Muy Alta,42.93
24,A,Victoria Cake,18.0,15,1,GB,1,FondantM,0,Sin Tematica,30.93
25,A,Victoria Cake,18.0,15,1,GB,0,FondantM,1,Basica,29.93
26,A,Victoria Cake,18.0,15,1,GB,0,FondantM,1,Media,31.93
27,A,Victoria Cake,18.0,15,1,GB,0,FondantM,1,Alta,34.93
28,A,Victoria Cake,18.0,15,1,GB,0,FondantM,1,Muy Alta,38.93
29,A,Victoria Cake,18.0,15,1,GB,0,FondantM,0,Sin Tematica,26.93
30,A,Victoria Cake,18.0,15,1,BC,1,FondantM,1,Basica,39.39
31,A,Victoria Cake,18.0,15,1,BC,1,FondantM,1,Media,41.39
32,A,Victoria Cake,18.0,15,1,BC,1,FondantM,1,Alta,44.39
33,A,Victoria Cake,18.0,15,1,BC,1,FondantM,1,Muy Alta,48.39
34,A,Victoria Cake,18.0,15,1,BC,1,FondantM,0,Sin Tematica,36.39
35,A,Victoria Cake,18.0,15,1,BC,0,FondantM,1,Basica,35.39
36,A,Victoria Cake,18.0,15,1,BC,0,FondantM,1,Media,37.39
37,A,Victoria Cake,18.0,15,1,BC,0,FondantM,1,Alta,40.39
38,A,Victoria Cake,18.0,15,1,BC,0,FondantM,1,Muy Alta,44.39
39,A,Victoria Cake,18.0,15,1,BC,0,FondantM,0,Sin Tematica,32.39
40,A,Victoria Cake,18.0,15,1,BCO,1,FondantM,1,Basica,42.34
41,A,Victoria Cake,18.0,15,1,BCO,1,FondantM,1,Media,44.34
42,A,Victoria Cake,18.0,15,1,BCO,1,FondantM,1,Alta,47.34
43,A,Victoria Cake,18.0,15,1,BCO,1,FondantM,1,Muy Alta,51.34
44,A,Victoria Cake,18.0,15,1,BCO,1,FondantM,0,Sin Tematica,39.34
45,A,Victoria Cake,18.0,15,1,BCO,0,FondantM,1,Basica,38.34
46,A,Victoria Cake,18.0,15,1,BCO,0,FondantM,1,Media,40.34
47,A,Victoria Cake,18.0,15,1,BCO,0,FondantM,1,Alta,43.34
48,A,Victoria Cake,18.0,15,1,BCO,0,FondantM,1,Muy Alta,47.34
49,A,Victoria Cake,18.0,15,1,BCO,0,FondantM,0,Sin Tematica,35.34
50,A,Victoria Cake,18.0,15,1,MerF,1,FondantM,1,Basica,37.35
51,A,Victoria Cake,18.0,15,1,MerF,1,FondantM,1,Media,39.35
52,A,Victoria Cake,18.0,15,1,MerF,1,FondantM,1,Alta,42.35
53,A,Victoria Cake,18.0,15,1,MerF,1,FondantM,1,Muy Alta,46.35
54,A,Victoria Cake,18.0,15,1,MerF,1,FondantM,0,Sin Tematica,34.35
55,A,Victoria Cake,18.0,15,1,MerF,0,FondantM,1,Basica,41.35
56,A,Victoria Cake,18.0,15,1,MerF,0,FondantM,1,Media,35.35
57,A,Victoria Cake,18.0,15,1,MerF,0,FondantM,1,Alta,38.35
58,A,Victoria Cake,18.0,15,1,MerF,0,FondantM,1,Muy Alta,42.35
59,A,Victoria Cake,18.0,15,1,MerF,0,FondantM,0,Sin Tematica,30.35
60,A,Victoria Cake,18.0,15,1,MerFR,1,FondantM,1,Basica,37.35
61,A,Victoria Cake,18.0,15,1,MerFR,1,FondantM,1,Media,39.35
62,A,Victoria Cake,18.0,15,1,MerFR,1,FondantM,1,Alta,42.35
63,A,Victoria Cake,18.0,15,1,MerFR,1,FondantM,1,Muy Alta,46.35
64,A,Victoria Cake,18.0,15,1,MerFR,1,FondantM,0,Sin Tematica,34.35
65,A,Victoria Cake,18.0,15,1,MerFR,0,FondantM,1,Basica,33.35
66,A,Victoria Cake,18.0,15,1,MerFR,0,FondantM,1,Media,35.35
67,A,Victoria Cake,18.0,15,1,MerFR,0,FondantM,1,Alta,38.35
68,A,Victoria Cake,18.0,15,1,MerFR,0,FondantM,1,Muy Alta,42.35
69,A,Victoria Cake,18.0,15,1,MerFR,0,FondantM,0,Sin Tematica,30.35
70,A,Victoria Cake,18.0,15,1,MerNZ,1,FondantM,1,Basica,34.82
71,A,Victoria Cake,18.0,15,1,MerNZ,1,FondantM,1,Media,36.82
72,A,Victoria Cake,18.0,15,1,MerNZ,1,FondantM,1,Alta,39.82
73,A,Victoria Cake,18.0,15,1,MerNZ,1,FondantM,1,Muy Alta,43.82
74,A,Victoria Cake,18.0,15,1,MerNZ,1,FondantM,0,Sin Tematica,31.82
75,A,Victoria Cake,18.0,15,1,MerNZ,0,FondantM,1,Basica,30.82
76,A,Victoria Cake,18.0,15,1,MerNZ,0,FondantM,1,Media,32.82
77,A,Victoria Cake,18.0,15,1,MerNZ,0,FondantM,1,Alta,35.82
78,A,Victoria Cake,18.0,15,1,MerNZ,0,FondantM,1,Muy Alta,39.82
79,A,Victoria Cake,18.0,15,1,MerNZ,0,FondantM,0,Sin Tematica,27.82
80,A,Victoria Cake,18.0,15,1,DL,1,FondantM,1,Basica,34.38
81,A,Victoria Cake,18.0,15,1,DL,1,FondantM,1,Media,36.38
82,A,Victoria Cake,18.0,15,1,DL,1,FondantM,1,Alta,39.38
83,A,Victoria Cake,18.0,15,1,DL,1,FondantM,1,Muy Alta,43.38
84,A,Victoria Cake,18.0,15,1,DL,1,FondantM,0,Sin Tematica,31.38
85,A,Victoria Cake,18.0,15,1,DL,0,FondantM,1,Basica,30.38
86,A,Victoria Cake,18.0,15,1,DL,0,FondantM,1,Media,32.38
87,A,Victoria Cake,18.0,15,1,DL,0,FondantM,1,Alta,35.38
88,A,Victoria Cake,18.0,15,1,DL,0,FondantM,1,Muy Alta,39.38
89,A,Victoria Cake,18.0,15,1,DL,0,FondantM,0,Sin Tematica,27.38
90,A,Victoria Cake,18.0,15,1,MerM,1,FondantM,1,Basica,34.89
91,A,Victoria Cake,18.0,15,1,MerM,1,FondantM,1,Media,36.89
92,A,Victoria Cake,18.0,15,1,MerM,1,FondantM,1,Alta,39.89
93,A,Victoria Cake,18.0,15,1,MerM,1,FondantM,1,Muy Alta,43.89
94,A,Victoria Cake,18.0,15,1,MerM,1,FondantM,0,Sin Tematica,31.89
95,A,Victoria Cake,18.0,15,1,MerM,0,FondantM,1,Basica,30.89
96,A,Victoria Cake,18.0,15,1,MerM,0,FondantM,1,Media,32.89
97,A,Victoria Cake,18.0,15,1,MerM,0,FondantM,1,Alta,35.89
98,A,Victoria Cake,18.0,15,1,MerM,0,FondantM,1,Muy Alta,39.89
99,A,Victoria Cake,18.0,15,1,MerM,0,FondantM,0,Sin Tematica,27.89
100,A,Victoria Cake,18.0,15,1,LimC,1,FondantM,1,Basica,39.89
101,A,Victoria Cake,18.0,15,1,LimC,1,FondantM,1,Media,41.89
102,A,Victoria Cake,18.0,15,1,LimC,1,FondantM,1,Alta,44.89
103,A,Victoria Cake,18.0,15,1,LimC,1,FondantM,1,Muy Alta,48.89
104,A,Victoria Cake,18.0,15,1,LimC,1,FondantM,0,Sin Tematica,36.89
105,A,Victoria Cake,18.0,15,1,LimC,0,FondantM,1,Basica,35.89
106,A,Victoria Cake,18.0,15,1,LimC,0,FondantM,1,Media,37.89
107,A,Victoria Cake,18.0,15,1,LimC,0,FondantM,1,Alta,40.89
108,A,Victoria Cake,18.0,15,1,LimC,0,FondantM,1,Muy Alta,44.89
109,A,Victoria Cake,18.0,15,1,LimC,0,FondantM,0,Sin Tematica,32.89
110,A,Chocolat Cake,18.0,15,1,GN,1,FondantM,1,Basica,27.28
111,A,Chocolat Cake,18.0,15,1,GN,1,FondantM,1,Media,29.28
112,A,Chocolat Cake,18.0,15,1,GN,1,FondantM,1,Alta,32.28
113,A,Chocolat Cake,18.0,15,1,GN,1,FondantM,1,Muy Alta,36.28
114,A,Chocolat Cake,18.0,15,1,GN,1,FondantM,0,Sin Tematica,24.28
115,A,Chocolat Cake,18.0,15,1,GN,0,FondantM,1,Basica,23.28
116,A,Chocolat Cake,18.0,15,1,GN,0,FondantM,1,Media,25.28
117,A,Chocolat Cake,18.0,15,1,GN,0,FondantM,1,Alta,28.28
118,A,Chocolat Cake,18.0,15,1,GN,0,FondantM,1,Muy Alta,32.28
